"s","p","o","lang"
"http://lariojaturismo.gnoss.com/items/Image_3d793a1b-8688-4adc-8368-676728911c85_78bf76ad-e95f-4ba6-823d-b4f717ef2b04","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eharmonise/2014-03-12#Image",
"http://lariojaturismo.gnoss.com/items/Image_6c9ac2b9-b005-1caa-f5f9-78c5fa56ad7d_cad9943f-20a1-4596-a461-eac91cc774c5","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eharmonise/2014-03-12#Image",
"http://lariojaturismo.gnoss.com/items/Attraction_0016d446-e90c-46c7-b624-fa3fc013a5b7_1833be47-b525-4986-93f1-e8604f3c7122","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
"http://lariojaturismo.gnoss.com/items/Attraction_0479470c-1fc3-4565-97b0-50b88128f1d5_659d54c5-56f4-4000-bf75-170adb6e97e1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
"http://lariojaturismo.gnoss.com/items/Attraction_06346bc2-f974-4b73-b5ba-97f277cc54c0_7e77fc4d-038b-4763-84ac-26c1568261d0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
"http://lariojaturismo.gnoss.com/items/Attraction_09aee4c2-9647-4b41-94e0-c44465d257c6_1da6a95a-4883-4b97-b878-063b438faa2a","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
"http://lariojaturismo.gnoss.com/items/Attraction_09c5a61e-43dc-40d5-9f61-4c3be1e15d71_b71c9768-70ee-4f2e-a03b-aa542d36664d","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
"http://lariojaturismo.gnoss.com/items/Attraction_0bdc6092-2534-4a09-9c1b-f533295ebffd_6bb90f03-e510-4189-97cd-d11008af4af6","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
"http://lariojaturismo.gnoss.com/items/Attraction_0c854c6c-48a7-453a-befd-97f7a3dbd3c8_71dd89fb-304a-4d09-907c-8dfe093befda","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
"http://lariojaturismo.gnoss.com/items/Attraction_0f7cbf30-21e6-4794-a318-f16db1e31848_bf5a2e3b-b01e-407b-ac4a-5deadfa9c4a4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
"http://lariojaturismo.gnoss.com/items/Attraction_12556d88-1a23-4fbe-8117-e045b4e46475_0462b3bd-97ad-44af-8012-c7bd54672561","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
"http://lariojaturismo.gnoss.com/items/Attraction_1291b8de-822d-466f-a48f-51aafd4733ad_e9fe25d4-c47a-4512-bd4f-4f4b1678b224","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
"http://lariojaturismo.gnoss.com/items/Attraction_12971336-6c8b-4b3e-a394-af8e4f8a80f4_96e20a6b-ceb1-4439-9dae-a8ce20e7beea","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
"http://lariojaturismo.gnoss.com/items/Attraction_14ee54c2-f0c9-4135-8f7b-04c6ad715429_d620e128-c2a1-418e-bfdf-4cc2adc1cbc5","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
"http://lariojaturismo.gnoss.com/items/Attraction_1afd6fc9-acd1-46db-85e3-c43021468b5f_d81a3e2e-dbf9-4cb8-877d-f330d6bcff87","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
"http://lariojaturismo.gnoss.com/items/Attraction_1b0b93cd-92a4-4930-997e-8f66da8cd201_67d36de1-46e2-4e46-99a6-7376aa45a90c","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
"http://lariojaturismo.gnoss.com/items/Attraction_1c02fdd5-611f-4f71-833a-9831f876ec39_b18abf56-3e65-461a-845a-cddbb5e05715","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
"http://lariojaturismo.gnoss.com/items/Attraction_1f0bceda-f6d1-4275-9a65-9256dceba833_df5fec57-a232-4e14-ac93-b26356a71598","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
"http://lariojaturismo.gnoss.com/items/Attraction_1f120b68-c4fc-4f88-9ca4-c95e0607d4f5_26108b18-1c94-4aa4-87a2-3d15742147ca","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Attraction",
