"s","p","o","lang"
"http://lariojaturismo.gnoss.com/items/Landmark_00db42c7-2313-4726-a6bf-d842ed5e76da_3601af9e-b8f8-4209-8f76-c0e012d82c5b","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_00f77fe9-21e6-4ab1-842b-5a23909a14e4_9bab59bc-b4fd-47cf-916c-af3f635170eb","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_019e70c8-6910-46ae-a734-25599b177b24_fe16e68a-83a6-416a-b6cc-6ed09fd3a4b7","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_01f2ecba-ca52-497b-b525-08560bbb991b_572684a7-3c7e-4993-8c8b-efdc5dff45f9","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_02d24427-a049-4c57-b352-a3acc5fb1460_98be647e-6954-4e91-96a0-f3be0c5e4eb5","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_041da67b-6378-4803-9639-882f2dc027a6_9f7bd39f-0ed7-43e2-897f-49c5e7c0a0fa","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_04a42589-e3e6-4794-b228-6aeb3908dec9_24664ee1-13aa-4962-ab9c-585acaa455ef","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_057e820a-88cd-411c-a957-6f459a26efb2_fcf677e7-78ba-421e-9057-c372cb72270f","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_05a4ddfc-5276-449b-9be4-80fc45e6ce9e_4fdb37c4-6274-4853-952d-765c23c66891","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_063eec70-c031-4f63-87b1-8517344e5421_a1f3f6f2-174c-41cf-b86a-79f015b69235","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_069518cc-95a8-4982-b7b4-b5b0367ad3a0_144a4198-65e8-483c-90a5-44124b1f758e","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
"http://lariojaturismo.gnoss.com/items/Landmark_069a3afa-f9e1-4458-9b3d-f3061629749a_72745e3c-02ad-496a-b4d7-c592ede86d48","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Landmark",
