"s","p","o","lang"
"http://lariojaturismo.gnoss.com/items/Path_14254ff3-138c-4618-8b83-c0ab61e34c11_6f79fbbf-afa9-4d81-874b-98b2853dfcc9","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Path",
"http://lariojaturismo.gnoss.com/items/Path_16bd2269-5283-4097-b610-561d571a9e89_b30ae4d4-e916-4fcb-87e7-3c51c2151ff1","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Path",
"http://lariojaturismo.gnoss.com/items/Path_1940caac-d580-454e-895b-1a303794b310_c609415d-874d-4923-8e54-abe4e68b7f6f","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Path",
"http://lariojaturismo.gnoss.com/items/Path_1ef1cb3b-437b-490b-a643-c2217254b136_7a101e7d-748e-4b62-a325-0492845b362c","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Path",
"http://lariojaturismo.gnoss.com/items/Path_226971e2-fb81-4873-8d63-abe3396b2488_7a8bcd88-997d-497e-a0b5-5ba0b6a4c375","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Path",
"http://lariojaturismo.gnoss.com/items/Path_47e80b27-79fa-4bf0-86b5-bd2974db4005_0f4fa442-4f1a-4fcd-ad3b-bfe435370f97","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Path",
"http://lariojaturismo.gnoss.com/items/Path_4f81d520-ddb2-4c26-a85b-2fa131cf4380_d79f852a-f2e3-439a-a183-46a8132cd167","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Path",
"http://lariojaturismo.gnoss.com/items/Path_55d64907-1029-4482-8eae-8f6138105aa7_edb7f623-d03b-4303-9086-10aaec62b842","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Path",
"http://lariojaturismo.gnoss.com/items/Path_6c64a351-ed93-4687-942c-56f9f85e55bd_e6439a8a-554d-447a-85ff-84ea707c9587","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Path",
"http://lariojaturismo.gnoss.com/items/Path_7f08cba9-7d41-4441-91c8-eb6d87114c5f_4a771b12-bb05-42c0-bc54-fce1e75236a6","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eroute/2014-04-28#Path",
