"s","p","o","lang"
"http://lariojaturismo.gnoss.com/items/Image_d0c0a5a5-fc44-475f-a525-ed9b93c12ce7_03c20a3d-65a9-4933-9f81-49836637ed51","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eharmonise/2014-03-12#Image",
"http://lariojaturismo.gnoss.com/items/Image_d0c0a5a5-fc44-475f-a525-ed9b93c12ce7_9c513c9a-4fc0-433d-9397-8a089c33e6f3","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eharmonise/2014-03-12#Image",
"http://lariojaturismo.gnoss.com/items/Image_d0c0a5a5-fc44-475f-a525-ed9b93c12ce7_5c7b717a-9029-4220-8d12-63bfd3f65396","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eharmonise/2014-03-12#Image",
"http://lariojaturismo.gnoss.com/items/Location_faddcb42-fc4a-4c66-a740-5300816024ff_b201e35e-d261-4b07-b15c-d1a584807294","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://www.eharmonise/2014-03-12#Location",
"http://lariojaturismo.gnoss.com/items/Winery_004e2cf0-2396-480f-8659-9a82f18424a1_a90fd32a-6f91-4154-994d-b767952be5b7","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_039fb061-82d2-4f21-956b-3058fa534e87_1fb25e06-5b45-4405-a1bc-95e0af5828d7","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_04647fa6-417e-4510-a11c-acf9d86919f1_d6b0c62c-6013-43f3-870c-dde5d0feecbf","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_06b12454-bf8c-4b0f-9d19-ad8d2b7c745b_d483b459-9f1a-42ce-ba34-118f08e5856a","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_08bac1bf-323e-4e99-a5d9-51b4e16eb6e8_dceeccb3-04c6-4fdc-b902-d88ea3d1c291","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_0cc4af7c-c3c6-41d2-9926-5820d3f44759_af01256b-172f-45d8-952b-98e348f0667a","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_0f9f1700-ce3c-4662-9881-7dc2403d1367_8bd3d658-568d-44af-a129-405ac0de37aa","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_1238e4cf-745d-4c62-914e-3d5aa0f9aade_368b5bc6-7b85-4492-bed1-fbbc7c2900c2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_149c2e0d-376e-410e-a3b4-be06a12b94f6_ac4dbc4c-13c4-49aa-8994-dbb9c98c8a65","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_16d10bc4-c25a-4cf9-bb83-1b3364131773_b58e3afd-2483-4274-b911-2c2b32a1d6a8","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_18efab51-1351-498c-9dc0-a558b80cdb0a_c572dfbf-018e-4d47-88f4-f66fb2bbc544","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_1bf151f6-18bd-4158-95bf-8d6a4216b535_e317520c-6215-4050-bb8f-1cdfe2431cec","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_1c519ce2-3366-4dfb-8ec5-5140d9a3e8cb_05a95432-be98-48e9-b260-a1b7b08f12fb","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_1d887a98-67f8-4619-8221-7398f8b01893_9f904337-be85-49a1-ad75-6637353d752d","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_1ed0a9b8-10d3-48b7-89d8-7c6d232b2c89_cb3e67f7-3772-4aea-bbe3-ab6d75153d8a","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_1f32ffc3-9d9f-417c-90ae-a6393b6e257a_3d4e0800-b384-4d4e-b76d-f6a523369c11","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_2044883c-8dd7-49df-acdf-d3ecd518f22f_32a3355e-a222-42be-902d-c4ba7b950304","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_213be081-e9c0-46fe-91cd-60f0920416ba_70e9dd04-e0a8-4b16-88b2-5c911915f20a","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_223267ad-8652-4bfd-b522-950441ac9b7f_a6e542c8-53fe-413d-b47e-ccfa8f5c35ee","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_22e16517-5d2f-471e-8c24-dc779200b55d_9cb00fb9-62d3-48ee-9083-de393494ca6a","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_25190024-f2cf-4f32-95a4-7d7ed687947e_d9220a65-92d6-455c-935e-ef94565e1768","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_2e834f56-61ee-4952-b515-cf70ce79c12f_bcd920b5-298f-4df5-a10e-53fd4cf92fd6","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_31a42f25-78ff-4d96-b52b-838a4eca23a2_ac6d6853-889c-4721-bec1-53ab0c8fbd22","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_358fe4eb-c675-473f-b440-911e8a7966cd_ba046699-15ed-43de-a6e5-3d9802d3f948","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_362d9247-861d-4371-ad52-ca96b3dd6e7c_b0df784f-1b72-4dd6-9abd-64a5ad3eabb2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_3d3c1b08-f98e-476f-ae68-02c4d2f60a32_41277005-7645-429d-9853-0a8d0fa1db41","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_43a469ba-6843-42fd-8bcf-aaf9474301ea_ce010ccb-bf47-47d6-af69-c4ba70fa5097","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_45535590-85a5-42a8-983f-4cd34d56e939_1a173ff4-86de-4912-bfc3-57892cb5d4ae","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_467f7e84-fdda-4329-a005-35e9b041283e_5eeaf425-1126-4ca0-a5e7-d5b661477d58","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_470066d6-4e43-4f01-82af-cf6e1bc7bee5_38611f73-ea03-4b2f-965f-46f7f490d6ad","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_473b176a-82c4-45a1-aa93-700e0cf41ecb_d7784557-1aff-4336-b193-d26e14d1fcd4","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_4ba4cce6-7c3e-464e-b517-71666dd79fe0_710df8b4-2ca0-44a3-934a-6c248f4216e2","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_4c48133e-5fc5-4c2d-a44f-296a6b9d49a1_1da885de-3db9-4468-bc71-29a8d2825ed0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_51cb0ff6-7697-4270-b271-47b190480910_584d9406-37d9-4149-ba6b-ac50c66e34f0","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
"http://lariojaturismo.gnoss.com/items/Winery_52462cc9-d7e8-43da-9a87-3a33ec658980_16218262-eed8-4d81-8922-a05de9956e1e","http://www.w3.org/1999/02/22-rdf-syntax-ns#type","http://protege.stanford.edu/rdf/HTOv4002#Winery",
